Week,2009-2010,2011-2012,2014-2015,2015-2016,2016-2017,2017-2018,Baseline
40,6.06923,1.16092,1.16191,1.22559,1.19763,1.3,2.2
41,7.09467,1.19785,1.30905,1.31066,1.22887,1.3,2.2
42,7.7151,1.27926,1.37072,1.3711,1.26723,1.3,2.2
43,7.55134,1.29194,1.43373,1.39171,1.36226,1.5,2.2
44,6.67118,1.42824,1.42791,1.43712,1.48468,1.7,2.2
45,5.20633,1.39803,1.61605,1.50165,1.55838,1.9,2.2
46,4.04477,1.45831,1.65976,1.59805,1.64639,2,2.2
47,3.49722,1.56548,2.05459,1.89668,1.91196,2.3,2.2
48,2.69023,1.34313,2.53541,1.67728,1.81129,2.3,2.2
49,2.47119,1.48139,2.54253,1.78296,1.91669,2.6,2.2
50,2.44773,1.63398,3.60563,1.87336,2.20671,3.4,2.2
51,2.64594,1.83126,4.90976,2.32148,2.73096,4.8,2.2
52,2.61567,2.10451,5.98221,2.40991,3.36152,5.7,2.2
1,1.90712,1.73625,4.21374,1.94328,3.09232,5.8,2.2
2,1.86738,1.55066,4.21022,1.99796,3.07623,5.9,2.2
3,1.88072,1.62891,4.25968,2.11829,3.50708,6.5,2.2
4,1.96908,1.76038,3.97761,2.25112,3.79872,7.1,2.2
5,2.11387,1.92728,3.63443,2.37116,4.43601,,2.2
6,2.09695,1.91994,3.26527,2.80035,5.06094,,2.2
7,1.90294,2.09951,2.93083,3.16475,4.85988,,2.2
8,1.96951,2.23973,2.54474,3.15183,4.57809,,2.2
9,1.92331,2.21921,2.47227,3.3321,3.55555,,2.2
10,1.89659,2.16693,2.35665,3.56024,3.50492,,2.2
11,1.75181,2.38913,2.17008,3.05479,3.21406,,2.2
12,1.52632,1.96466,2.04297,2.76732,3.09854,,2.2
13,1.49572,1.84229,1.954,2.44161,2.79765,,2.2
14,1.22313,1.68674,1.72287,2.03348,2.38646,,2.2
15,1.17754,1.53136,1.53694,1.98593,1.96699,,2.2
16,1.09112,1.37912,1.38283,1.91514,1.73523,,2.2
17,1.11958,1.29515,1.46265,1.69968,1.5635,,2.2
18,1.08169,1.39521,1.38934,1.57635,1.4041,,2.2
19,1.12497,1.32522,1.3468,1.3935,1.27729,,2.2
20,1.06197,1.23059,1.25452,1.29941,1.28245,,2.2
21,1.08909,1.23028,1.21636,1.18379,1.16589,,2.2
22,1.1776,1.26877,1.16734,1.13723,1.10926,,2.2
23,0.97493,1.10782,1.04654,1.04118,1.04391,,2.2
24,0.987132,1.09559,0.943661,0.971814,0.905127,,2.2
25,0.995991,1.11031,0.935046,0.863306,0.900396,,2.2
26,0.904726,1.10616,0.934726,0.833797,0.859562,,2.2
27,0.941927,1.10816,0.864118,0.784516,0.819597,,2.2
28,0.880415,0.999444,0.806535,0.734327,0.753215,,2.2
29,0.842615,0.924199,0.742747,0.698845,0.738102,,2.2
30,0.858382,0.949257,0.737859,0.723099,0.734112,,2.2
31,0.83383,0.978903,0.743224,0.663501,0.732137,,2.2
32,0.847437,0.925024,0.805251,0.69276,0.689006,,2.2
33,0.888273,0.848456,0.816943,0.710029,0.733007,,2.2
34,0.765372,1.04451,0.814518,0.834232,0.913111,,2.2
35,0.91858,1.0986,0.86067,0.992621,1.02317,,2.2
36,1.01432,1.22071,0.886704,1.01605,1.09338,,2.2
37,1.01233,1.24976,1.00845,1.07169,1.09907,,2.2
38,1.11803,1.22892,1.06625,1.10163,1.09703,,2.2
39,1.11806,1.29393,1.05995,1.18841,1.18892,,2.2
